term,score
tampil,2.108788687189002
has,2.097392817019537
twitter,2.0913288789198963
any,2.0870469252223125
pemerintahan,2.081100658736188
ambil,2.080221830145463
online,2.079240149298475
narasi,2.07547970298382
cok,2.065422335669695
mahal,2.063248204142372
dibenerin,2.0630514404105265
film,2.061803047721184
do,2.0579977914653655
simak,2.0564984111521176
allah,2.0538505568595014
ikutan,2.0504827501658967
tanggung,2.047539312152781
teknis,2.0448634200498765
ps,2.0439051567349122
lempar,2.0430406589976298
bayar buzzer,2.039996662195937
gunanya,2.03762399711781
indonesia system,2.0349043164820886
nudity,2.034861209488535
also,2.028571037048313
minimal,2.0275457387634903
pahami,2.026340970667983
gajelas,2.022727583858271
point,2.0215455218190823
masyarakat,2.020993356840516
biar tidak,2.015730645564453
utamanya,2.0153868908495554
agi,2.010157110734133
syarat,2.008436965790875
ban,2.0063871978534826
eksekusi,2.005245737786139
cik,2.003051826058815
terkait sistem,1.9988419879739703
mengikuti isu,1.9959229949698247
peduli,1.9922412630986264
not fit,1.9909950721853171
fit,1.9909950721853171
distribution,1.9909950721853171
pokoknya,1.977912050011036
google,1.9762319182736183
nerapin,1.97579966272847
kecanduan,1.9753724600489346
ngurus,1.9691805408372178
serang,1.9679327833669538
kekerasan,1.9669830622215203
postingan,1.9640248904010582
utuh,1.9635389558366525
rilis resmi,1.9516569207227488
saran,1.949727462868807
genshin,1.9432878073744795
jujur tampilan,1.942117953360539
dikit,1.941627666792053
international,1.9376782145000409
app,1.9359695733043683
ngurusin,1.9352127521713918
its,1.9344802477227199
gausah,1.9297561891408566
sewa,1.9282906112089266
sewa buzzer,1.9282906112089266
tidur,1.9270612533733238
sosmed,1.923123284972589
woi,1.921891337952992
data belum,1.91299709172151
jt,1.9076978778520592
data masih,1.9071772169328205
ngomongin,1.9022582379307642
meme,1.8984751842719658
of the,1.8926202518858741
belum sepenuhnya,1.8921895505738417
silakan cek,1.8911263250122703
suka,1.8898062542808063
was,1.884759431513092
blok,1.8842552695990844
gila,1.884209477782679
dll,1.8811494043544044
such,1.880760370623285
ayam,1.877899303024544
internasional,1.8693457819384354
persona,1.8686380230275195
membatasi,1.8650367772075902
esrb pegi,1.8649272090834836
some,1.861851327525729
bantu,1.8603971990095443
memek,1.857149826884461
sakit,1.8542470593546607
sims,1.8512604423825598
the sims,1.8512604423825598
gooners,1.8512553808571028
go,1.8510423660851645
anak main,1.8510178814467944
issue,1.8440337350628724
hafid,1.8439975603545142
solusi,1.8414641885668315
buset,1.8411596137431274
normal,1.8382868235580831
transisi,1.8295239972627106
our,1.8283967635343075
joke,1.8281382333606953
harga,1.8257627434088703
diblokir,1.8246910442554254
tersedia,1.819666510042821
ml,1.8160651076351886
tidak sesuai,1.8135665402983214
playing,1.8094850997296759
komunikasi,1.8041659939874688
dibikin rapi,1.8034230447748945
anak muda,1.799329380302484
nasional,1.7983671670766121
disalahin,1.7935349882543759
region,1.7927576616959164
kompeten,1.7891193698901842
alasannya,1.7808962991520145
untung,1.772635455365999
maksudnya,1.7713112059412346
rated by,1.7707002585374532
regional,1.7695261184003985
dicek,1.7677914471939242
pemerintah indonesia,1.7633080027628691
diakui,1.7610423178034604
their,1.757828232618038
kategori,1.752554216376324
ngasal,1.7523821374207231
distribusi,1.7508114459032553
juta,1.7491506734166051
penjelasan siaran,1.746924988658422
sistem belum,1.7467752070982847
penerapan,1.7438378673187176
biar paham,1.7391009714615213
ngikut,1.734544215063086
hp,1.730006504387883
contohnya,1.7273655792273368
sembarangan,1.7268424404127605
fit for,1.722999484513561
for distribution,1.722999484513561
bersifat,1.722909688176942
kemarin tidak,1.7135095750007159
dibeli,1.7066198099716787
menilai,1.7023040427537945
bocil,1.7012398748302981
pantek,1.696218099905507
pembatasan,1.693397382658995
diurusin,1.6919580176384583
teman,1.6888919155246043
melindungi anak,1.6888568533058272
team,1.6863256444675527
filter,1.68303224514792
utama,1.6828685153631786
mari,1.6822658329381839
who,1.6799460185333932
malam,1.6796289148998853
ratings,1.6788568346735158
