Id,Label,username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,temporal_burst_score_max,sna_out_deg_max,sna_in_deg_max,posting_freq_per_hour_max,binary_label_gephi
yousuffer_why,yousuffer_why,yousuffer_why,0.830736517906189,0.830736517906189,1,0,0.4943,1.0,1.0,0.0,1.0,Non-Buzzer
yudisdn,yudisdn,yudisdn,0.0011277447920292,0.0011277447920292,1,0,0.5763,1.0,0.0,0.0,1.0,Non-Buzzer
yudsky,yudsky,yudsky,0.0038727393839508,0.0026056503411382,2,0,0.3925,0.5,1.0,1.0,1.0,Non-Buzzer
yuka_riza,yuka_riza,yuka_riza,0.9965311884880066,0.9965311884880066,1,1,0.6551,1.0,0.0,0.0,1.0,Buzzer
yurayurei,yurayurei,yurayurei,0.0015743679832667,0.0015743679832667,1,0,0.3069,1.0,1.0,0.0,1.0,Non-Buzzer
z___vyi,z___vyi,z___vyi,0.0274308249354362,0.0274308249354362,1,0,0.6021,1.0,0.0,0.0,1.0,Non-Buzzer
zai25452114159,zai25452114159,zai25452114159,0.1813170462846756,0.1813170462846756,1,0,0.6052,1.0,1.0,0.0,1.0,Non-Buzzer
zakisemma,zakisemma,zakisemma,0.1499786376953125,0.1499786376953125,1,0,0.5419,1.0,0.0,0.0,1.0,Non-Buzzer
zerothenforcer,zerothenforcer,zerothenforcer,0.0148134957998991,0.0081783877685666,2,0,0.371,0.5,1.0,0.0,1.0,Non-Buzzer
zzaysmine,zzaysmine,zzaysmine,0.0450362898409366,0.0450362898409366,1,0,0.4303,1.0,1.0,0.0,1.0,Non-Buzzer
zzz25k,zzz25k,zzz25k,0.0023428916465491,0.0023428916465491,1,0,0.3221,1.0,1.0,0.0,1.0,Non-Buzzer
kurawa,kurawa,kurawa,0.0,0.0,0,0,,,,,,Non-Buzzer
kemgelapan,kemgelapan,kemgelapan,0.0,0.0,0,0,,,,,,Non-Buzzer
