Id,Label,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,binary_label_gephi,sna_out_deg_max,sna_in_deg_max,content_dup_score_max,temporal_burst_score_max,in_degree,out_degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,eigenvector_centrality
8120_DAF,8120_DAF,0.017636779695749283,0.017636779695749283,1,0,Non-Buzzer,0.0,0.0,0.6978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8issleekest,8issleekest,0.0015579521423205733,0.0015579521423205733,1,0,Non-Buzzer,1.0,0.0,0.378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8isul,8isul,0.002313842298462987,0.002313842298462987,1,0,Non-Buzzer,0.0,0.0,0.351,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99propaganda,99propaganda,0.8787309527397156,0.8787309527397156,1,1,Buzzer,0.0,0.0,0.3804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11Kiky,A11Kiky,0.0025258834939450026,0.0025258834939450026,1,0,Non-Buzzer,0.0,0.0,0.3713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHROOMEE,AHROOMEE,0.051257263869047165,0.034630510956048965,3,0,Non-Buzzer,0.0,0.0,0.3898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALZgamin,ALZgamin,0.0009559663594700396,0.0009559663594700396,1,0,Non-Buzzer,0.0,0.0,0.359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbcDef38782297,AbcDef38782297,0.9970313310623169,0.9970313310623169,1,1,Buzzer,0.0,0.0,0.5746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbyanMakarim,AbyanMakarim,0.002908055204898119,0.002908055204898119,1,0,Non-Buzzer,0.0,0.0,0.307,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AchmadUmar17,AchmadUmar17,0.0023472479078918695,0.0023472479078918695,1,0,Non-Buzzer,1.0,0.0,0.3533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdhietyaTh33187,AdhietyaTh33187,0.9369701147079468,0.4748617112636566,2,1,Buzzer,0.0,0.0,0.7368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adiety333,Adiety333,0.9988075494766235,0.8341727256774902,6,5,Buzzer,5.0,0.0,0.6536,0.8333333333333334,0.0,4.0,0.07017543859649122,0.0,0.0,0.010576251904360826,0.00016700366286787798
AdityaPrasetyo_,AdityaPrasetyo_,0.001215521595440805,0.001215521595440805,1,0,Non-Buzzer,0.0,0.0,0.7313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AkuilaOpo,AkuilaOpo,0.029942207038402557,0.029942207038402557,1,0,Non-Buzzer,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AkunNomerRandom,AkunNomerRandom,0.0010440587066113949,0.0010440587066113949,1,0,Non-Buzzer,1.0,0.0,0.4107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al38819917,Al38819917,0.0016762255690991879,0.001608218066394329,2,0,Non-Buzzer,2.0,0.0,0.3118,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlFD_Fajarid,AlFD_Fajarid,0.035743676126003265,0.035743676126003265,1,0,Non-Buzzer,0.0,0.0,0.4819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al_Khuarizmi,Al_Khuarizmi,0.0047695217654109,0.0047695217654109,1,0,Non-Buzzer,1.0,0.0,0.3792,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert2844,Albert2844,0.008654346689581871,0.007635048124939203,2,0,Non-Buzzer,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex_Brigz,Alex_Brigz,0.18395332992076874,0.11027533560991287,3,0,Non-Buzzer,3.0,1.0,0.628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfiatunisah,Alfiatunisah,0.9042736887931824,0.9042736887931824,1,1,Buzzer,0.0,0.0,0.3762,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
